Probe_ID	GENESYMBOL	FoldChange
1426300_at	Alcam	5.47
1436964_at	D7ertd715e	3.57
1453231_at	Cdkl1	3.79
1421345_at	Lrat	6.79
1454866_s_at	Clic6	9.56
1420832_at	Qsox1	3.53
1457044_at	Macc1	18.15
1416673_at	Bace2	9.09
1418925_at	Celsr1	6.28
1422444_at	Itga6	4.88
1418626_a_at	Clu	11.81
1424502_at	Oit1	7.90
1417896_at	Tjp3	8.50
1423938_at	Llgl2	4.05
1429055_at	4930506m07rik	3.92
1434202_a_at	Fam107a	11.42
1424076_at	Gdpd1	4.80
1425280_at	Leng1	4.30
1428485_at	Car12	5.01
1427095_at	Cdcp1	6.11
1427747_a_at	Lcn2	147.01
1419456_at	Dcxr	7.20
1455431_at	Slc5a1	4.77
1435484_at	Slc5a3	5.57
1424783_a_at	Loc100048662	6.89
1425606_at	Slc5a8	7.98
1426634_at	Slc5a9	5.16
1437197_at	Sorbs2	4.80
1416564_at	Sox7	4.46
1417575_at	Otub2	7.22
1419106_at	2210409e12rik	3.30
1454877_at	Sertad4	6.03
1455691_at	Cyp21a1	4.54
1436021_at	Mfsd4	17.54
1448743_at	Ssx2ip	4.52
1419323_at	Padi1	31.85
1418252_at	Padi2	22.12
1422760_at	Padi4	5.64
1447979_at	Sgsm1	3.63
1418129_at	Dhcr24	8.57
1416034_at	Cd24a	11.41
1419699_at	Scgb3a1	12.03
1416109_at	Fuca1	5.33
1460056_at	1700109f18rik	4.11
1447100_s_at	5730508b09rik	3.90
1449478_at	Mmp7	16.71
1418203_at	Pmaip1	6.43
1418476_at	Crlf1	21.56
1425122_at	Fam3b	9.56
1452326_at	Atp2c2	5.47
1444178_at	Gm9895	4.47
1435452_at	Slc35g1	6.24
1435693_at	Mall	3.72
1424148_a_at	Stap2	5.36
1416271_at	Perp	4.16
1453264_at	Marveld3	16.84
1426914_at	Marveld2	5.18
1421066_at	Jak2	3.68
1419615_at	Trpv6	15.01
1431786_s_at	1190003j15rik	5.71
1418818_at	Aqp5	26.76
1451310_a_at	Ctsl	4.36
1418021_at	C4b	8.40
1451393_at	Pex26	4.55
1453282_at	Cxadr	6.04
1453355_at	Wnk2	6.83
1449248_at	Clcn2	7.40
1417491_at	Ctsb	5.52
1423909_at	Tmem176a	17.66
1418004_a_at	Tmem176b	6.00
1417600_at	Slc15a2	4.47
1416692_at	Coil	4.48
1436124_at	Pcyt1b	7.22
1419728_at	Cxcl5	3.37
1455266_at	Kif5c	8.33
1438306_at	Rnf180	42.65
1417889_at	Apobec2	16.85
1419074_at	Chac2	8.81
1452298_a_at	Myo5b	5.11
1415856_at	Emb	4.56
1431213_a_at	Gm3579	8.84
1416654_at	Slc31a2	3.48
1417689_a_at	Pdzk1ip1	3.70
1434170_at	Dcaf12l1	3.86
1418243_at	Fcna	6.01
1416892_s_at	Fam107b	4.12
1417714_x_at	Hba-a1	2.72
1458667_at	Ninl	3.81
1424737_at	Thrsp	8.76
1432579_at	Rsph3a	64.48
1451474_a_at	Parp8	5.07
1444150_at	Epb4.1	3.83
1447141_at	Aw107722	5.24
1427042_at	Mal2	4.67
1418734_at	H2-q2	4.30
1416627_at	Spint1	4.70
1420771_at	Sprr2d	4.32
1449833_at	Sprr2f	16.18
1434109_at	Sh3bgrl2	6.55
1452861_at	2010300c02rik	5.16
1450627_at	Ank	4.40
1417840_at	Cep19	4.56
1424404_at	0610040j01rik	4.04
1435463_s_at	Myo1d	3.85
1430579_at	Tnik	3.47
1416625_at	Serping1	4.28
1423952_a_at	Krt7	15.41
1436990_s_at	Chchd10	5.57
1420647_a_at	Krt8	20.10
1449076_x_at	Adi1	6.28
1452696_a_at	4933439c10rik	3.91
1451551_at	Krt84	10.23
1423287_at	Cbln1	5.95
1424067_at	Icam1	4.34
1423954_at	C3	68.99
1416051_at	C2	4.69
1426039_a_at	Alox12e	5.83
1427038_at	Penk	32.89
1420504_at	Slc6a14	4.14
1429062_at	Kif16b	4.28
1453304_s_at	Ly6e	4.07
1422478_a_at	Acss2	4.81
1450947_at	2610528j11rik	6.15
1417062_at	Armc10	3.52
1439795_at	Gpr64	4.50
1420674_at	Pla2g2e	6.48
1417494_a_at	Cp	45.35
1417089_a_at	Ckmt1	18.29
1420502_at	Sat1	4.62
1448249_at	Gpd1	3.48
1426850_a_at	Map2k6	3.46
1428306_at	Ddit4	4.12
1428074_at	Tmem158	7.59
1452227_at	Sel1l3	4.90
1440409_at	Gcnt3	14.99
1443607_at	Au020745	5.86
1418509_at	Cbr2	12.72
1439661_at	Slc16a14	5.09
1424127_at	Eya2	5.02
1438448_at	Otop1	5.07
1425109_at	Slc44a3	4.12
1416596_at	Slc44a4	6.64
1418091_at	Tfcp2l1	8.62
1450060_at	Pigr	40.20
1435674_at	Rhobtb2	3.69
1416579_a_at	Epcam	18.62
1427455_x_at	Igk-v28	4.81
1452354_at	2810459m11rik	5.88
1451191_at	Crabp2	4.07
1434628_a_at	Rhpn2	6.61
1441579_at	Dmrta1	11.42
1426968_a_at	Rdh10	9.59
1423611_at	Alpl	9.73
1447774_x_at	Fam213a	38.58
1418374_at	Fxyd3	10.21
1429166_s_at	Clmn	4.47
1458648_at	Au042950	6.80
1417952_at	Cyp2j6	5.49
1438968_x_at	Spint2	6.58
1438635_x_at	B930041f14rik	7.92
1452703_at	Ahcyl2	9.68
1421653_a_at	Igh-vj558	15.25
1420008_s_at	Wwc1	6.40
1451323_at	Zfp7	6.04
1426911_at	Dsc2	5.56
1453080_at	Apol7a	10.30
1418671_at	Capn5	7.75
1418780_at	Cyp39a1	4.30
1421317_x_at	Myb	11.25
1418030_at	Slco3a1	4.11
1419478_at	Sectm1b	4.90
1425002_at	Sectm1a	25.20
1427302_at	Enpp3	12.35
1426872_at	Fcgbp	29.26
1448754_at	Rbp1	7.66
1417957_a_at	Tspan1	19.17
1420018_s_at	Tspan8	3.54
1433888_at	Atp2b2	8.06
1419103_a_at	Abhd6	4.74
1442101_at	Elfn1	4.17
1458591_at	Rasef	4.12
1455451_at	Kctd14	4.87
1454974_at	Ntn1	3.74
1416094_at	Adam9	5.42
1419332_at	Egfl6	6.82
1418983_at	Inadl	4.02
1448227_at	Grb7	4.52
1419503_at	Stc2	5.32
1420579_s_at	Cftr	13.04
1437876_at	Il20rb	12.57
1436870_s_at	Afap1l2	3.86
1430353_at	Glis3	4.50
1448881_at	Hp	11.15
1422804_at	Serpinb6b	3.74
1418076_at	St14	9.17
1455848_at	Tmprss11a	11.93
1434815_a_at	Mapkapk3	4.66
1451335_at	Plac8	6.27
1424456_at	Pvrl2	3.85
1453352_at	Atp10b	4.77
1428114_at	Slc14a1	5.62
1426934_at	Nhsl1	4.80
1448354_at	G6pdx	4.03
1419725_at	Slc26a4	11.58
1436279_at	Slc26a7	20.10
1455435_s_at	Chdh	14.35
1424351_at	Wfdc2	5.87
1424595_at	F11r	6.11
1419549_at	Arg1	21.20
1425298_a_at	Naip1	11.38
1418606_at	Hoxd10	8.56
1451608_a_at	Tspan33	7.78
1423608_at	Itm2a	11.17
1418318_at	Rnf128	32.91
1434489_at	Elmo3	4.05
1459269_at	Sdr39u1	3.41
1426147_s_at	Cldn10	5.72
1420827_a_at	Ccng1	5.58
1448871_at	Mapk13	11.24
1434253_s_at	Tmcc3	5.26
1418191_at	Usp18	4.00
1453003_at	Sorl1	3.12
1431189_a_at	Fahd2a	3.48
1439528_at	4833423e24rik	13.60
1417301_at	Fzd6	4.18
1428168_at	Mpzl1	4.09
1429089_s_at	2900026a02rik	6.17
1433579_at	Tmem30b	6.93
1437361_at	Gm11545	7.10
1425400_a_at	Cited4	4.92
1440797_at	Dlx6os2	3.57
1439476_at	Dsg2	15.58
1415698_at	Golm1	6.51
1417976_at	Ada	20.86
1417061_at	Slc40a1	4.25
1426235_a_at	Glul	5.64
1434447_at	Met	3.93
1439153_at	Rnf144b	3.92
1424829_at	Tor4a	3.82
1422293_a_at	Kctd1	4.28
1457139_at	Auts2	3.73
1454295_at	Nrip1	3.57
1418488_s_at	Ripk4	4.16
1416916_at	Elf3	4.51
1417884_at	Slc16a6	3.63
1430717_at	Fam83e	5.69
1452614_at	Bcl2l15	4.24
1416607_at	4931406c07rik	5.13
1429285_at	Serpina9	13.13
1448690_at	Kcnk1	7.54
1434667_at	Col8a2	8.52
1415977_at	Isyna1	5.91
1437341_x_at	Cnp	6.38
1419154_at	Tmprss2	12.32
1438018_at	Hook1	3.95
1426302_at	Tmprss4	8.38
1417333_at	Rasa4	6.79
1417290_at	Lrg1	17.98
1438244_at	Nfib	6.66
1439560_x_at	Gm5480	10.01
1454901_at	Ypel2	3.63
1450850_at	Ezr	7.49
1455060_at	G3bp1	5.24
