Probe_ID	GENESYMBOL	FoldChange
1422760_at	Padi4	4.09
1448613_at	Ecm1	3.42
1416592_at	Glrx	4.64
1417374_at	Tuba4a	4.00
1455836_at	Papola	3.38
1416076_at	Ccnb1	3.02
1458367_at	Gm94	13.85
1416034_at	Cd24a	6.96
1440186_s_at	Psapl1	4.66
1419709_at	Stfa3	5.66
1418203_at	Pmaip1	4.59
1453568_at	Dapl1	5.63
1449155_at	Polr3g	3.15
1428384_at	Lurap1l	2.93
1428671_at	2200002d01rik	3.46
1450633_at	Calm4	5.18
1444740_at	Cers3	4.96
1420851_at	Pard6g	5.58
1450971_at	Gadd45b	3.22
1449348_at	Mpp6	3.88
1416271_at	Perp	7.75
1437019_at	Fam25c	4.46
1431786_s_at	1190003j15rik	6.01
1424162_at	Trim29	4.38
1430542_a_at	Slc25a5	3.29
1438148_at	Cxcl3	10.21
1449984_at	Cxcl2	3.44
1455455_at	Glt28d2	3.62
1455449_at	2010107g12rik	2.69
1417823_at	Galr3	3.53
1440686_at	Prss27	11.68
1420352_at	Prss22	5.45
1452298_a_at	Myo5b	6.58
1424202_at	Seh1l	3.17
1422837_at	Scel	10.06
1417689_a_at	Pdzk1ip1	3.15
1423413_at	Ndrg1	6.47
1431211_s_at	Them5	4.88
1426873_s_at	Jup	4.06
1434477_at	Heca	2.94
1424737_at	Thrsp	2.52
1427042_at	Mal2	7.41
1422240_s_at	Sprr2h	4.24
1455450_at	Ptpn3	3.47
1420771_at	Sprr2d	10.15
1449833_at	Sprr2f	8.32
1452598_at	Gins1	3.12
1451385_at	Fam162a	3.53
1434109_at	Sh3bgrl2	4.45
1452954_at	Ube2c	4.25
1416595_at	Mrps22	3.06
1452732_at	Asprv1	15.57
1426923_at	Agfg1	3.99
1457307_at	Apol11b	3.28
1422481_at	Krt1	5.36
1423952_a_at	Krt7	10.21
1422592_at	Ctnnd2	3.93
1435191_at	Cdsn	3.88
1438394_x_at	Krt4	6.66
1436990_s_at	Chchd10	3.42
1459838_s_at	Btbd11	3.68
1416309_at	Nusap1	3.16
1440523_at	Sdr16c5	4.17
1419619_at	Krt80	4.37
1422749_at	Ly6g6c	3.37
1418480_at	Ppbp	33.14
1422588_at	Krt6b	3.66
1460351_at	Gm12854	3.79
1439476_at	Dsg2	3.65
1458000_at	Dsg1a	4.73
1455519_at	Dsg1b	4.63
1418266_at	Alox12b	4.13
1420503_at	Slc6a14	4.30
1429063_s_at	Kif16b	2.98
1453304_s_at	Ly6e	3.14
1416930_at	Ly6d	10.53
1416922_a_at	Bnip3l	5.46
1422478_a_at	Acss2	3.15
1438183_x_at	Sord	4.14
1426808_at	Lgals3	4.28
1426910_at	Pawr	3.01
1422308_a_at	Lgals7	6.45
1449855_s_at	Uchl3	6.00
1437760_at	Galnt12	3.11
1456114_at	Cds1	3.47
1417089_a_at	Ckmt1	6.74
1441687_at	Wnt4	4.12
1451258_at	Psca	8.63
1418488_s_at	Ripk4	11.69
1436349_at	2700094k13rik	4.26
1415864_at	Bpgm	2.70
1441317_x_at	Jakmip1	3.70
1422484_at	Cycs	3.38
1439494_at	Slc5a9	6.61
1437197_at	Sorbs2	4.35
1417942_at	Lypd3	10.65
1436392_s_at	Tfap2c	5.01
1422557_s_at	Mt1	3.09
1450645_at	Mt4	5.15
1418509_at	Cbr2	3.64
1434278_at	Mtm1	4.19
1430567_at	Spink5	13.25
1424127_at	Eya2	3.03
1417947_at	Pcna	3.70
1452614_at	Bcl2l15	2.81
1422943_a_at	Hspb1	3.44
1417732_at	Anxa8	14.93
1438852_x_at	Mcm6	3.23
1455490_at	Pigr	3.46
1448777_at	Mcm2	3.41
1416579_a_at	Epcam	4.29
1427046_at	Grhl2	2.93
1448754_at	Rbp1	8.56
1417160_s_at	Wfdc18	3.64
1419486_at	Foxc1	3.39
1424256_at	Rdh12	5.46
1460463_at	H60c	3.16
1460732_a_at	Ppl	3.69
1447774_x_at	Fam213a	2.60
1418207_at	Fxyd4	3.28
1418374_at	Fxyd3	5.65
1419201_at	Klk11	3.70
1416021_a_at	Fabp5	2.77
1449166_at	S100a14	12.78
1428657_at	Rreb1	2.88
1416627_at	Spint1	3.10
1448792_a_at	Cyp2f2	4.35
1420008_s_at	Wwc1	3.19
1421156_a_at	Dsc2	5.76
1453080_at	Apol7a	7.23
1429270_a_at	Syce2	3.89
1423494_at	2310042e22rik	6.63
1426857_a_at	Hsdl2	5.22
1421317_x_at	Myb	3.41
1418213_at	Krt23	7.57
1434580_at	Enpp4	3.17
1422776_at	Serpinb8	4.88
1417957_a_at	Tspan1	8.60
1419082_at	Serpinb2	5.87
1421752_a_at	Serpinb5	9.64
1449500_at	Serpinb7	5.56
1417565_at	Abhd5	3.36
1422629_s_at	Shroom3	3.36
1422526_at	Acsl1	4.25
